Hasse Diagram of [(5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1), (5, 1)]. Bounded: True. Ranked: False ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1), (3, 1)]. Bounded: True. Ranked: False ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 2), (3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 1), (5, 1)]. Bounded: True. Ranked: False ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 1), (5, 1)]. Bounded: True. Ranked: False ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1), (1, 2)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1), (5, 1)]. Bounded: True. Ranked: False ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1), (3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1), (3, 1)]. Bounded: True. Ranked: False ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1), (2, 2)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1), (4, 1)]. Bounded: True. Ranked: False ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1), (3, 2)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 1), (2, 2)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 1), (1, 2)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(1, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(4, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(5, 1), (5, 2)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (3, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(2, 2), (4, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 2), (5, 1)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
Hasse Diagram of [(3, 1), (3, 2)]. Bounded: True. Ranked: True ||| Conjecture Result: Fails: 
